timestamp,event_type,detection_result,orange_percentage,green_percentage,duration_seconds,debug_mode
2025-09-05 14:32:05,orange_continue,オレンジ,100.0,0.0,660.2,normal,temp_frame_20250905_143205.png
2025-09-05 14:33:05,orange_continue,オレンジ,100.0,0.0,720.2,normal,temp_frame_20250905_143305.png
2025-09-05 14:34:05,orange_continue,オレンジ,100.0,0.0,780.3,normal,temp_frame_20250905_143405.png
2025-09-05 14:35:05,orange_continue,オレンジ,100.0,0.0,840.3,normal,temp_frame_20250905_143505.png
2025-09-05 14:36:05,orange_continue,オレンジ,100.0,0.0,900.4,normal,temp_frame_20250905_143605.png
2025-09-05 14:37:05,orange_continue,オレンジ,100.0,0.0,960.4,normal,temp_frame_20250905_143705.png
2025-09-05 14:38:05,orange_continue,オレンジ,100.0,0.0,1020.4,normal,temp_frame_20250905_143805.png
2025-09-05 14:39:05,orange_continue,オレンジ,100.0,0.0,1080.4,normal,temp_frame_20250905_143905.png
2025-09-05 14:40:05,orange_continue,オレンジ,100.0,0.0,1140.4,normal,temp_frame_20250905_144005.png
2025-09-05 14:50:16,orange_start,オレンジ,100.0,0.0,0.0,normal,temp_frame_20250905_145016.png
2025-09-05 14:51:16,orange_continue,オレンジ,100.0,0.0,60.0,normal,temp_frame_20250905_145116.png
2025-09-05 14:52:16,orange_continue,オレンジ,100.0,0.0,120.1,normal,temp_frame_20250905_145216.png
2025-09-05 14:53:16,orange_continue,オレンジ,100.0,0.0,180.1,normal,temp_frame_20250905_145316.png
2025-09-05 14:54:16,orange_continue,オレンジ,100.0,0.0,240.1,normal,temp_frame_20250905_145416.png
2025-09-05 14:55:17,orange_interrupted,不明,0.0,0.0,300.2,normal,temp_frame_20250905_145516.png
2025-09-05 14:56:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_145616.png
2025-09-05 14:57:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_145716.png
2025-09-05 14:58:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_145817.png
2025-09-05 14:59:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_145917.png
2025-09-05 15:00:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_150017.png
2025-09-05 15:01:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_150117.png
2025-09-05 15:02:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_150217.png
2025-09-05 15:03:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_150317.png
2025-09-05 15:04:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_150417.png
2025-09-05 15:05:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_150517.png
2025-09-05 15:06:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_150617.png
2025-09-05 15:07:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_150717.png
2025-09-05 15:08:17,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_150817.png
2025-09-05 15:15:37,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_151537.png
2025-09-05 15:16:37,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_151637.png
2025-09-05 15:17:38,orange_start,オレンジ,100.0,0.0,0.0,normal,temp_frame_20250905_151737.png
2025-09-05 15:18:38,orange_continue,オレンジ,100.0,0.0,60.0,normal,temp_frame_20250905_151837.png
